text,label
I went through my project work. I have been struggling to keep up. I went for a short walk.,1
"These days, I feel like everything is taking more effort. I am finding it difficult to get back into my routine.",1
"These days, I spent several hours on my usual tasks. my workload did not feel too difficult.",0
I stayed in my room after college. I was able to take things at my own pace. I think I can manage the remaining work. I am hoping the next few days are better.,0
The day was mostly about college work. I keep falling behind on things. I keep worrying about what I have left to do. I tried to get some extra rest.,1
I was satisfied with how the day went. I finished one of my assignments. I had a quiet evening.,0
"These days, I keep falling behind on things. I keep worrying about what I have left to do. I am just taking it one day at a time.",1
"To be honest, I had some college work to finish. I felt comfortable with my routine. I feel prepared for the next few days.",0
"To be honest, I had a few lectures today. I have trouble getting started on tasks. I feel stuck with everything I need to handle.",1
"I worked on a presentation. I was able to concentrate. Anyway, I will deal with it tomorrow.",0
I had some college work to finish. I keep falling behind on things. I tried to get some extra rest.,1
The day passed mostly between classes and assignments. things have been harder to manage. I keep worrying about what I have left to do. I listened to music for a while.,1
"To be honest, I finished one of my assignments. I went for a short walk. I feel comfortable with how things are going.",0
I had a regular college schedule. my routine has been difficult to maintain. I went for a short walk.,1
I had a regular college schedule. I was able to concentrate. I think I need to slow down a little.,0
I think I was able to concentrate. I had some college work to finish. I took some time away from my laptop.,0
I had a few lectures today. I have barely had time to switch off. I feel like I need more time to recover.,1
The day passed mostly between classes and assignments. I felt like I was keeping up. I think a good night's sleep will help. I took a proper break.,0
I was busy for most of the afternoon. I was able to get things done. I am glad I got some time for myself. I watched something for a little while.,0
I worked on a presentation. my routine has been difficult to maintain. I feel like I need more time to recover.,1
I spent several hours on my usual tasks. I have been struggling to keep up. I feel stuck with everything I need to handle. I tried to get some extra rest. That was pretty much my day.,1
I think I worked on some coding. I watched something for a little while. I am trying to maintain a balanced routine. I will try again tomorrow.,0
I had a regular college schedule. my routine has been difficult to maintain. I spent some time with my family.,1
I guess i worked on some coding. I have been finding it difficult to stay focused. I talked to a friend.,1
my routine has been difficult to maintain. I worked on a presentation. I listened to music for a while.,1
I stayed in my room after college. my usual routine feels harder than it should. I hope I can get things under control soon. I will try again tomorrow.,1
I spent several hours on my usual tasks. I managed my work without rushing. Nothing else really happened.,0
I had a lot of small things to finish. I was able to concentrate. Hopefully things feel easier tomorrow.,0
I have been finding normal tasks tiring. I finished one of my assignments. I watched something for a little while. That was pretty much my day.,1
"Somehow, I worked on my project. I keep falling behind on things. I tried to get some extra rest.",1
I had a lot of small things to finish. I felt comfortable with my routine. I feel okay about what I need to do next. I went for a short walk.,0
I guess i revised some topics. I spent some time with my family. I am trying to maintain a balanced routine.,0
"To be honest, Most of my time went into studying. I was able to concentrate. I will try again tomorrow.",0
"Honestly, I spent the evening studying. I took a proper break. I am looking forward to tomorrow.",0
I had a lot of small things to finish. my routine has been difficult to maintain. I wish I could get away from everything for a while. I took a proper break.,1
"Honestly, I went through my project work. I have been finding normal tasks tiring. I went for a short walk. I am just taking it one day at a time.",1
I worked on some coding. my routine has been difficult to maintain. I hope I can get things under control soon. I will try again tomorrow.,1
I felt like I was keeping up. I revised some topics. I got some fresh air.,0
I spent some time in the library. I have been struggling to keep up. I took a proper break. I will try again tomorrow.,1
I finished one of my assignments. I feel like everything is taking more effort. I am not sure how to catch up. I will try again tomorrow.,1
I have been finding it difficult to stay focused. I worked on my project. I tried to get some extra rest.,1
"Honestly, I worked on a presentation. I had a decent amount of energy. I think a good night's sleep will help. I will try again tomorrow.",0
I was able to get things done. I stayed in my room after college. I went for a short walk.,0
I had a fairly busy schedule. I managed my work without rushing. I am looking forward to tomorrow. I talked to a friend.,0
I spent some time in the library. I had enough energy to get through the day. I am glad I got some time for myself.,0
"Lately, I was able to get things done. I think a good night's sleep will help.",0
I have been struggling to keep up. I had a regular college schedule. I took a proper break.,1
I guess i did not do anything particularly different today. I felt comfortable with my routine.,0
I finished one of my assignments. I had a quiet evening. I think I can manage the remaining work.,0
"For some reason, I was busy for most of the afternoon. my workload did not feel too difficult.",0
I had a decent amount of energy. I attended my morning classes. I watched something for a little while. Hopefully things feel easier tomorrow.,0
"These days, Most of my time went into studying. I have been struggling to keep up. I am not sure how to catch up. I took some time away from my laptop.",1
"At the moment, The day was mostly about college work. I felt reasonably positive. I feel prepared for the next few days. I took some time away from my laptop.",0
I finished one of my assignments. I spent some time with my family. I think a good night's sleep will help.,0
"Honestly, my usual routine feels harder than it should. I wish I could get away from everything for a while. That was pretty much my day.",1
"These days, I have trouble getting started on tasks. I keep thinking about things even when I am trying to rest.",1
I spent some time in the library. I have been thinking about college work constantly. I keep worrying about what I have left to do.,1
I spent several hours on my usual tasks. I felt like I was keeping up. I think a good night's sleep will help. I tried to get some extra rest. I am hoping the next few days are better.,0
"Somehow, I spent some time in the library. I have been finding normal tasks tiring. I am not sure how long I can keep this pace.",1
I worked on my project. I was able to get things done. I am just taking it one day at a time.,0
"Right now, I spent some time working and some time resting. I had enough energy to get through the day.",0
I spent the evening studying. I have been thinking about college work constantly.,1
I spent several hours on my usual tasks. my workload did not feel too difficult. I feel prepared for the next few days. I tried to get some extra rest.,0
"These days, The day passed mostly between classes and assignments. my routine has been difficult to maintain. I am finding it difficult to get back into my routine. I had a quiet evening.",1
I followed my usual routine. I was able to take things at my own pace. I think I handled the day reasonably well. I spent some time with my family.,0
"Lately, I had a lot of small things to finish. my workload did not feel too difficult. I think I handled the day reasonably well. I took some time away from my laptop.",0
The day passed mostly between classes and assignments. I have trouble getting started on tasks. I am just taking it one day at a time.,1
I was able to take things at my own pace. I am looking forward to tomorrow. I am hoping the next few days are better.,0
I did not do anything particularly different today. my workload did not feel too difficult. I think I can manage the remaining work. I spent some time with my family.,0
"Honestly, I revised some topics. my routine has been difficult to maintain. I feel stuck with everything I need to handle. That was pretty much my day.",1
"These days, I worked on a presentation. my usual routine feels harder than it should.",1
"These days, I spent several hours on my usual tasks. I felt reasonably positive. I am glad I got some time for myself. I took some time away from my laptop.",0
I spent several hours on my usual tasks. I have not had much energy lately. I hope I can get things under control soon. I took some time away from my laptop.,1
I revised some topics. I have been having difficulty keeping my thoughts organized. I watched something for a little while.,1
"Lately, I spent some time working and some time resting. my workload did not feel too difficult. I think I handled the day reasonably well. I went for a short walk.",0
I had a regular college schedule. I took some time away from my laptop. I feel comfortable with how things are going.,0
I met a few classmates. I took a proper break. I think a good night's sleep will help.,0
"To be honest, I studied for an upcoming exam. I took a proper break. I was happy with the progress I made.",0
I had a lot of small things to finish. I have been having difficulty keeping my thoughts organized. I keep thinking about things even when I am trying to rest. I tried to get some extra rest. Hopefully things feel easier tomorrow.,1
"These days, I had some college work to finish. I was able to get things done.",0
"I spent some time working and some time resting. I could focus without too much trouble. Anyway, I will deal with it tomorrow.",0
"At the moment, I feel like everything is taking more effort. I spent the evening studying. I talked to a friend.",1
I spent some time working and some time resting. I had a decent amount of energy. I am glad I got some time for myself. I went for a short walk.,0
"Lately, The day passed mostly between classes and assignments. I have been thinking about college work constantly. I keep worrying about what I have left to do. I listened to music for a while.",1
I did not do anything particularly different today. my workload did not feel too difficult. I am glad I got some time for myself. I listened to music for a while.,0
"For some reason, I attended my morning classes. I feel like everything is taking more effort. I will try again tomorrow.",1
I had a lot of small things to finish. I have trouble getting started on tasks. I am not sure how long I can keep this pace. I went for a short walk.,1
I had some college work to finish. I felt comfortable with my routine. I am glad I got some time for myself.,0
"To be honest, I revised some topics. I have been having difficulty keeping my thoughts organized.",1
I have not had much energy lately. I spent some time in the library. I took a proper break. Hopefully things feel easier tomorrow.,1
I had a lot of small things to finish. I have been struggling to keep up. I am not sure how long I can keep this pace. I spent some time with my family.,1
I met a few classmates. I have not had much energy lately. I got some fresh air.,1
I guess i was busy for most of the afternoon. I could focus without too much trouble. I think I handled the day reasonably well. I talked to a friend.,0
I had a lot of small things to finish. I have not been able to relax properly. I keep thinking about things even when I am trying to rest. I talked to a friend.,1
"Lately, I finished one of my assignments. it has been difficult to concentrate. I keep worrying about what I have left to do. Anyway, I will deal with it tomorrow.",1
I guess i felt reasonably positive. I think a good night's sleep will help.,0
"Honestly, I went through my project work. I felt comfortable with my routine.",0
I spent the evening studying. I have been having difficulty keeping my thoughts organized. I feel stuck with everything I need to handle. I am just taking it one day at a time.,1
I had a fairly busy schedule. my usual routine feels harder than it should. I hope I can get things under control soon. I tried to get some extra rest.,1
"Honestly, I had a few lectures today. things felt manageable. I feel comfortable with how things are going.",0
"Right now, The day was mostly about college work. my usual routine feels harder than it should. I feel stuck with everything I need to handle. I watched something for a little while.",1
I think I felt fairly calm. I worked on a presentation. I took some time away from my laptop.,0
I spent the evening studying. I could focus without too much trouble. I think I handled the day reasonably well.,0
I studied for an upcoming exam. I had a quiet evening. I am glad I got some time for myself.,0
I followed my usual routine. I felt comfortable with my routine. I think I handled the day reasonably well. I took some time away from my laptop.,0
I did not do anything particularly different today. I felt reasonably positive. I feel prepared for the next few days. I went for a short walk.,0
"These days, I was able to get things done. I am looking forward to tomorrow.",0
I stayed in my room after college. I have been thinking about college work constantly. Nothing else really happened.,1
"At the moment, I finished one of my assignments. I took some time away from my laptop. I am looking forward to tomorrow.",0
"To be honest, I spent some time in the library. I have not had much energy lately.",1
The day was mostly about college work. I felt comfortable with my routine. I think I handled the day reasonably well. I watched something for a little while.,0
"I was satisfied with how the day went. I think I handled the day reasonably well. Anyway, I will deal with it tomorrow.",0
I studied for an upcoming exam. I keep falling behind on things. I got some fresh air.,1
I had some college work to finish. I had enough time to relax. I will try again tomorrow.,0
"To be honest, I did not do anything particularly different today. I have been struggling to keep up.",1
"Lately, I was busy for most of the afternoon. I had enough energy to get through the day. I am trying to maintain a balanced routine. I got some fresh air.",0
I guess the day passed mostly between classes and assignments. I have not been able to relax properly.,1
I was able to get things done. I worked on a presentation. I talked to a friend.,0
"These days, I spent some time working and some time resting. I had enough time to relax.",0
I stayed in my room after college. I feel like everything is taking more effort.,1
I guess i had some college work to finish. I felt fairly calm. I am looking forward to tomorrow.,0
I met a few classmates. I feel like everything is taking more effort. I feel like I need more time to recover.,1
I spent some time working and some time resting. I have been finding normal tasks tiring.,1
I had a fairly busy schedule. I have been finding normal tasks tiring. I keep worrying about what I have left to do. I watched something for a little while.,1
I had a few lectures today. I have not had much energy lately. I feel stuck with everything I need to handle.,1
Most of my time went into studying. I keep falling behind on things. I am not sure how long I can keep this pace. I talked to a friend.,1
I had a lot of small things to finish. I have been finding normal tasks tiring. I just want my mind to slow down. I tried to get some extra rest.,1
I stayed in my room after college. I feel like everything is taking more effort. I got some fresh air.,1
I spent some time working and some time resting. I had enough time to relax. I was happy with the progress I made. I spent some time with my family.,0
things felt manageable. I spent some time in the library. I listened to music for a while.,0
I attended my morning classes. I have been finding it difficult to stay focused. I just want my mind to slow down.,1
"Somehow, I had a regular college schedule. things have been harder to manage. I feel stuck with everything I need to handle.",1
"I did not do anything particularly different today. I felt fairly calm. Anyway, I will deal with it tomorrow.",0
I think I had a lot of small things to finish. things felt manageable. I am hoping the next few days are better.,0
I feel like everything is taking more effort. I finished one of my assignments. I went for a short walk.,1
"Honestly, I spent several hours on my usual tasks. things felt manageable.",0
I spent some time in the library. I went for a short walk. I am trying to maintain a balanced routine.,0
"These days, I have been finding normal tasks tiring. I keep thinking about things even when I am trying to rest.",1
I worked on a presentation. I felt comfortable with my routine. I feel okay about what I need to do next.,0
"To be honest, I had a fairly busy schedule. I have been finding normal tasks tiring.",1
The day passed mostly between classes and assignments. I felt reasonably positive. I feel prepared for the next few days. I went for a short walk.,0
I finished one of my assignments. I keep falling behind on things. I had a quiet evening.,1
"Somehow, I could focus without too much trouble. I went through my project work. I tried to get some extra rest.",0
I spent several hours on my usual tasks. I feel like everything is taking more effort. I am not sure how long I can keep this pace. I had a quiet evening.,1
The day passed mostly between classes and assignments. I was able to take things at my own pace. I am glad I got some time for myself. I watched something for a little while.,0
I attended my morning classes. I spent some time with my family. I am trying to maintain a balanced routine.,0
I managed my work without rushing. I met a few classmates. I took some time away from my laptop.,0
I did not do anything particularly different today. I have trouble getting started on tasks. I am not sure how long I can keep this pace. I took a proper break.,1
I spent several hours on my usual tasks. I have been thinking about college work constantly. I keep thinking about things even when I am trying to rest. I took some time away from my laptop.,1
"Somehow, The day was mostly about college work. I managed my work without rushing.",0
I studied for an upcoming exam. my usual routine feels harder than it should. I talked to a friend.,1
my usual routine feels harder than it should. I keep worrying about what I have left to do. That was pretty much my day.,1
"Right now, I worked on my project. I took a proper break. I am looking forward to tomorrow.",0
"These days, I had a regular college schedule. I have not had much energy lately. I tried to get some extra rest.",1
I worked on my project. I have not been able to relax properly. I wish I could get away from everything for a while. I will try again tomorrow.,1
"it has been difficult to concentrate. I wish I could get away from everything for a while. Anyway, I will deal with it tomorrow.",1
I spent several hours on my usual tasks. I was satisfied with how the day went. I was happy with the progress I made. I watched something for a little while.,0
"I worked on some coding. I keep falling behind on things. Anyway, I will deal with it tomorrow.",1
I worked on my project. I have trouble getting started on tasks. I keep worrying about what I have left to do.,1
I had a fairly busy schedule. I feel like everything is taking more effort. I am finding it difficult to get back into my routine. I took a proper break.,1
"For some reason, I spent the evening studying. I got some fresh air. I feel okay about what I need to do next.",0
I followed my usual routine. my routine has been difficult to maintain. I am finding it difficult to get back into my routine. I took some time away from my laptop.,1
"At the moment, The day was mostly about college work. I could focus without too much trouble. I am looking forward to tomorrow. I spent some time with my family. I will try again tomorrow.",0
I have been struggling to keep up. I attended my morning classes. I talked to a friend.,1
I have trouble getting started on tasks. I had a regular college schedule. I spent some time with my family.,1
"I have been finding it difficult to stay focused. I just want my mind to slow down. Anyway, I will deal with it tomorrow.",1
I finished one of my assignments. I tried to get some extra rest. I am looking forward to tomorrow.,0
"Somehow, Most of my time went into studying. my routine has been difficult to maintain.",1
"Somehow, I was satisfied with how the day went. I went through my project work. I went for a short walk.",0
I worked on a presentation. I had enough time to relax.,0
I finished one of my assignments. I had a decent amount of energy. I think I handled the day reasonably well. I will try again tomorrow.,0
I worked on some coding. I could focus without too much trouble. I am trying to maintain a balanced routine.,0
I worked on a presentation. I could focus without too much trouble. I am glad I got some time for myself.,0
I had a regular college schedule. I felt fairly calm. I am looking forward to tomorrow.,0
I was busy for most of the afternoon. I have not been able to relax properly. I am hoping the next few days are better.,1
I was busy for most of the afternoon. I felt like I was keeping up. I was happy with the progress I made. I got some fresh air.,0
"I revised some topics. things felt manageable. Anyway, I will deal with it tomorrow.",0
I finished one of my assignments. I have trouble getting started on tasks. I spent some time with my family.,1
"To be honest, I had a few lectures today. I felt comfortable with my routine. I think I handled the day reasonably well.",0
"Honestly, I felt comfortable with my routine. I feel comfortable with how things are going.",0
I worked on a presentation. I have been thinking about college work constantly. I spent some time with my family.,1
I had some college work to finish. I talked to a friend. I think a good night's sleep will help.,0
"Right now, I was satisfied with how the day went. I was happy with the progress I made.",0
"Right now, I attended my morning classes. I was satisfied with how the day went. I am glad I got some time for myself. Hopefully things feel easier tomorrow.",0
"Lately, I had some college work to finish. I spent some time with my family. I am glad I got some time for myself.",0
"To be honest, I had some college work to finish. my usual routine feels harder than it should. I listened to music for a while.",1
The day passed mostly between classes and assignments. I was able to concentrate. I think I can manage the remaining work. I got some fresh air.,0
I did not do anything particularly different today. I felt reasonably positive. I feel prepared for the next few days. I had a quiet evening. I think I need to slow down a little.,0
I went through my project work. I felt like I was keeping up. I feel okay about what I need to do next.,0
I stayed in my room after college. I have not been able to relax properly. I got some fresh air.,1
I worked on a presentation. I was able to concentrate. I think I need to slow down a little.,0
I spent some time working and some time resting. I felt fairly calm. I will try again tomorrow.,0
Most of my time went into studying. I have been finding it difficult to stay focused. I feel like I need more time to recover. I got some fresh air.,1
"Somehow, I have been having difficulty keeping my thoughts organized. I worked on my project. I spent some time with my family.",1
I guess i had some college work to finish. my usual routine feels harder than it should.,1
I did not do anything particularly different today. I felt comfortable with my routine. I think I handled the day reasonably well. I had a quiet evening. I think I need to slow down a little.,0
I have trouble getting started on tasks. I attended my morning classes. I got some fresh air.,1
my usual routine feels harder than it should. I stayed in my room after college. I watched something for a little while.,1
I guess my workload did not feel too difficult. I had a few lectures today. I listened to music for a while.,0
Most of my time went into studying. I have been thinking about college work constantly. I feel like I need more time to recover. I had a quiet evening. Hopefully things feel easier tomorrow.,1
The day was mostly about college work. I managed my work without rushing. I will try again tomorrow.,0
Most of my time went into studying. I felt fairly calm. I think I handled the day reasonably well. I took some time away from my laptop.,0
"Somehow, my routine has been difficult to maintain. I spent some time in the library. I spent some time with my family.",1
The day passed mostly between classes and assignments. I had enough time to relax. I am trying to maintain a balanced routine. I talked to a friend.,0
I had a regular college schedule. my workload did not feel too difficult. That was pretty much my day.,0
I spent some time working and some time resting. I could focus without too much trouble. I think I handled the day reasonably well. I got some fresh air. Nothing else really happened.,0
"Somehow, I went through my project work. I tried to get some extra rest. I feel prepared for the next few days.",0
I finished one of my assignments. I had enough time to relax. I am looking forward to tomorrow.,0
I worked on my project. I keep falling behind on things. I hope I can get things under control soon.,1
I have barely had time to switch off. I feel like I need more time to recover. I am just taking it one day at a time.,1
I was busy for most of the afternoon. things felt manageable. I think a good night's sleep will help. I tried to get some extra rest.,0
I attended my morning classes. I feel like everything is taking more effort. I went for a short walk.,1
I had a lot of small things to finish. things have been harder to manage. That was pretty much my day.,1
I went through my project work. I managed my work without rushing. I feel okay about what I need to do next.,0
I think I had a regular college schedule. I have not had much energy lately. I spent some time with my family. That was pretty much my day.,1
The day was mostly about college work. things have been harder to manage. I just want my mind to slow down. I went for a short walk.,1
I had a lot of small things to finish. I keep falling behind on things. I am not sure how long I can keep this pace. I watched something for a little while.,1
I had a fairly busy schedule. I have been thinking about college work constantly. I am finding it difficult to get back into my routine. I got some fresh air.,1
I worked on a presentation. I had a quiet evening. I feel okay about what I need to do next. Nothing else really happened.,0
I had a few lectures today. I have not been able to relax properly. I went for a short walk.,1
I met a few classmates. I have barely had time to switch off. I feel like I need more time to recover.,1
"These days, I worked on my project. I could focus without too much trouble. I think I can manage the remaining work.",0
I had some college work to finish. I spent some time with my family. I think I handled the day reasonably well. I am just taking it one day at a time.,0
I met a few classmates. things felt manageable. Nothing else really happened.,0
I went through my project work. I was able to take things at my own pace. I feel comfortable with how things are going.,0
I stayed in my room after college. I have been finding normal tasks tiring. I listened to music for a while.,1
"At the moment, I have not been able to relax properly. I worked on a presentation. I got some fresh air. Hopefully things feel easier tomorrow.",1
"For some reason, I went through my project work. my workload did not feel too difficult.",0
"I finished one of my assignments. I watched something for a little while. I am looking forward to tomorrow. Anyway, I will deal with it tomorrow.",0
I was busy for most of the afternoon. I have barely had time to switch off. Hopefully things feel easier tomorrow.,1
"Honestly, I spent the evening studying. I have trouble getting started on tasks. I keep worrying about what I have left to do.",1
I have been finding normal tasks tiring. I met a few classmates. I took some time away from my laptop.,1
I felt like I was keeping up. I worked on some coding. I went for a short walk.,0
I went through my project work. I had enough energy to get through the day. I am just taking it one day at a time.,0
I had a regular college schedule. I had enough energy to get through the day. I feel comfortable with how things are going.,0
The day passed mostly between classes and assignments. I have not had much energy lately. I just want my mind to slow down. I took a proper break.,1
I have barely had time to switch off. I had a few lectures today. I went for a short walk. I think I need to slow down a little.,1
I have been finding normal tasks tiring. I keep thinking about things even when I am trying to rest. I think I need to slow down a little.,1
I guess i finished one of my assignments. I have trouble getting started on tasks. Hopefully things feel easier tomorrow.,1
I had a few lectures today. I managed my work without rushing. I feel comfortable with how things are going.,0
I was busy for most of the afternoon. I felt fairly calm. That was pretty much my day.,0
I spent the evening studying. I keep falling behind on things. I am just taking it one day at a time.,1
I had some college work to finish. I took some time away from my laptop. I feel okay about what I need to do next.,0
I was busy for most of the afternoon. it has been difficult to concentrate. I just want my mind to slow down. I took a proper break.,1
"To be honest, my workload did not feel too difficult. I revised some topics. I watched something for a little while.",0
I had a few lectures today. I could focus without too much trouble. I feel comfortable with how things are going.,0
I worked on a presentation. I got some fresh air. I think a good night's sleep will help. That was pretty much my day.,0
I followed my usual routine. I have been finding normal tasks tiring. I am not sure how to catch up. I talked to a friend.,1
I studied for an upcoming exam. I feel like everything is taking more effort. I took a proper break.,1
"At the moment, I have not had much energy lately. I just want my mind to slow down.",1
I attended my morning classes. I have been having difficulty keeping my thoughts organized. I am not sure how to catch up. I am just taking it one day at a time.,1
I worked on some coding. I have not had much energy lately. I spent some time with my family.,1
I felt reasonably positive. I worked on my project. I talked to a friend.,0
"Lately, I have not had much energy lately. I feel like I need more time to recover.",1
"Lately, I had a fairly busy schedule. I was satisfied with how the day went. I was happy with the progress I made. I got some fresh air.",0
I attended my morning classes. I felt reasonably positive. I feel prepared for the next few days.,0
my usual routine feels harder than it should. I attended my morning classes. I got some fresh air.,1
I revised some topics. I was satisfied with how the day went. I think I can manage the remaining work. That was pretty much my day.,0
"At the moment, I stayed in my room after college. I had a quiet evening. I think I handled the day reasonably well.",0
"These days, I had a lot of small things to finish. I had enough time to relax.",0
I followed my usual routine. I have been finding it difficult to stay focused. I am not sure how long I can keep this pace. I listened to music for a while. I am just taking it one day at a time.,1
"Lately, I went through my project work. things felt manageable. I am trying to maintain a balanced routine.",0
I have not been able to relax properly. I had some college work to finish. I went for a short walk.,1
I guess i was able to concentrate. I had some college work to finish. I got some fresh air.,0
I spent some time working and some time resting. I was able to get things done. I feel prepared for the next few days. I had a quiet evening.,0
"Honestly, I spent some time in the library. I have been having difficulty keeping my thoughts organized. I tried to get some extra rest.",1
"Somehow, The day was mostly about college work. I have not had much energy lately. I feel stuck with everything I need to handle. I watched something for a little while.",1
I spent some time working and some time resting. my routine has been difficult to maintain. I hope I can get things under control soon. I went for a short walk. I think I need to slow down a little.,1
I met a few classmates. I keep falling behind on things. I keep worrying about what I have left to do.,1
"These days, I had a few lectures today. I have trouble getting started on tasks. I had a quiet evening.",1
I had a lot of small things to finish. I have barely had time to switch off. I am hoping the next few days are better.,1
I did not do anything particularly different today. I felt comfortable with my routine. I am glad I got some time for myself. I spent some time with my family.,0
I worked on some coding. I have been thinking about college work constantly. I took some time away from my laptop. I am hoping the next few days are better.,1
"Honestly, I went through my project work. I felt comfortable with my routine. I am looking forward to tomorrow.",0
I spent the evening studying. my usual routine feels harder than it should. I am not sure how to catch up.,1
my workload did not feel too difficult. I feel prepared for the next few days. I am hoping the next few days are better.,0
I was busy for most of the afternoon. I felt reasonably positive. I think I handled the day reasonably well. I took a proper break.,0
"To be honest, I spent some time in the library. things felt manageable.",0
I could focus without too much trouble. I spent the evening studying. I had a quiet evening.,0
I worked on a presentation. I was able to concentrate. I am glad I got some time for myself. I am just taking it one day at a time.,0
I guess i worked on my project. I felt reasonably positive. I think I need to slow down a little.,0
"Somehow, I met a few classmates. I have not been able to relax properly. I listened to music for a while.",1
The day passed mostly between classes and assignments. I feel like everything is taking more effort. I keep worrying about what I have left to do. I got some fresh air.,1
I worked on a presentation. I have been struggling to keep up. I tried to get some extra rest. That was pretty much my day.,1
I have been thinking about college work constantly. I spent the evening studying. I got some fresh air.,1
"These days, I was busy for most of the afternoon. I have been thinking about college work constantly.",1
I had a fairly busy schedule. I felt like I was keeping up. I feel comfortable with how things are going. I got some fresh air.,0
I have been finding it difficult to stay focused. I attended my morning classes. I took a proper break.,1
"Honestly, I attended my morning classes. I could focus without too much trouble. I think I handled the day reasonably well.",0
"Lately, I had a lot of small things to finish. my workload did not feel too difficult. I am glad I got some time for myself. I went for a short walk.",0
I worked on a presentation. I have been finding normal tasks tiring.,1
I spent several hours on my usual tasks. things have been harder to manage. I am not sure how to catch up. I took some time away from my laptop.,1
"Right now, I followed my usual routine. I was able to concentrate.",0
I had enough time to relax. I stayed in my room after college. I took some time away from my laptop. Nothing else really happened.,0
I worked on my project. I tried to get some extra rest. I was happy with the progress I made. I think I need to slow down a little.,0
"Right now, I worked on my project. I watched something for a little while. I am trying to maintain a balanced routine.",0
I attended my morning classes. I could focus without too much trouble. I am looking forward to tomorrow.,0
I went through my project work. I felt fairly calm.,0
I was busy for most of the afternoon. I have been having difficulty keeping my thoughts organized. I am just taking it one day at a time.,1
I met a few classmates. I got some fresh air. I am looking forward to tomorrow.,0
I have trouble getting started on tasks. I worked on a presentation. I got some fresh air. I am just taking it one day at a time.,1
I had a fairly busy schedule. things felt manageable. I think I handled the day reasonably well. I got some fresh air.,0
"These days, I stayed in my room after college. I had enough time to relax.",0
I have been finding it difficult to stay focused. I spent some time in the library. I had a quiet evening.,1
Most of my time went into studying. I felt comfortable with my routine. I feel okay about what I need to do next. I had a quiet evening.,0
"Right now, I was satisfied with how the day went. I finished one of my assignments. I had a quiet evening.",0
"These days, Most of my time went into studying. I have been struggling to keep up.",1
it has been difficult to concentrate. I spent the evening studying. I spent some time with my family.,1
I have been struggling to keep up. I had some college work to finish. I took a proper break.,1
I spent the evening studying. I was able to take things at my own pace. I am glad I got some time for myself.,0
I worked on some coding. I listened to music for a while. I was happy with the progress I made.,0
I had a regular college schedule. I have been thinking about college work constantly. I feel like I need more time to recover.,1
I guess i stayed in my room after college. I have been finding it difficult to stay focused.,1
